Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Russia,2019,1854.32,4673.33,30.42,5.67,,6.28,13.52,12.82,Europe
Japan,2005,,6327,47,21.69,12.14,10.78,13.64,18.45,Asia
Canada,2000,,2006.98,20.65,,2.05,6.07,5.86,7.94,North America
Australia,2023,754.59,6518.43,,,,8.16,4.99,5.34,Oceania
Canada,2014,5730.65,797.76,48.9,29.24,8.57,8.44,7.35,17.92,North America
Canada,2022,2730.12,6567.28,36.81,9.71,12.98,12.04,5.13,13.66,North America
Canada,2009,7432.97,2720.71,,15.48,20.56,9.03,10.74,18.36,North America
Japan,2018,7782.94,1069.38,21.57,17.56,9.97,6.51,12.74,13.95,Asia
Canada,2016,7582,3606.75,,33.16,1.7,7.51,10.75,17.15,North America
South Africa,2004,4056.61,2094.73,27.8,,11.22,7.21,12.72,11.45,Africa
Russia,2003,6965.32,,,,28.33,19.6,7.16,16.25,Europe
Russia,2009,6834.12,2428.11,49.44,38.51,19.25,16.39,4.03,18.7,Europe
Germany,2023,2893.25,,27.7,,20.14,19.52,11.59,13.58,Europe
Brazil,2016,6716.87,,,,18.97,11.6,6.69,7.71,South America
United States,2009,,2454.63,25.94,28.69,5.97,9.18,10.73,9.03,North America
Mexico,2016,4972.02,4428.2,36.96,34,,16.97,5.52,7.98,North America
United States,2019,2225.07,5126.59,33.92,15.31,22.53,9.89,3.06,8.7,North America
Brazil,2023,1404.25,,49.16,,3.04,9.49,14.9,9.6,South America
Mexico,2004,1077.15,3129.42,38.26,30.83,8.34,8.49,4.03,13.33,North America
Japan,2001,,1204.45,30.49,34.2,,6.95,14.85,13.82,Asia
India,2005,,1595.59,,30.92,,8.85,14.7,11.4,Asia
Japan,2020,,4895.38,24.54,10,,10.33,12.32,14.23,Asia
United States,2001,990.17,1597.49,,31.37,,15.11,10.57,6.22,North America
United States,2012,2864.68,3866.08,27.53,31.91,15.56,5.94,9.51,6.32,North America
Mexico,2010,4546.18,5079.71,45.52,28.05,5.38,8.16,13.26,7.58,North America
Mexico,2010,6430.42,1105.39,36.84,,29.12,17.14,5.76,12.77,North America
Brazil,2015,2890.64,4144.26,35.7,,3.4,7.2,8.08,8.21,South America
Canada,2010,5194.19,2093.31,23.44,26.48,12.11,10.14,10.05,9.25,North America
Japan,2018,7144.83,,,8.1,22.14,17.97,7.35,11,Asia
Mexico,2014,5118.97,3591.4,41.68,22.07,21.14,7.32,7.56,17.18,North America
France,2022,2247.2,5719.55,22.03,7.72,12.68,6.24,6.29,5.21,Europe
Brazil,2022,683.01,4031.5,41.24,,10.4,12.27,9.34,14.74,South America
South Africa,2015,7025.74,686.52,36.31,19.25,11.93,9.54,13.06,15.03,Africa
United States,2010,659.52,,22.45,7.31,,13.45,4.62,16.98,North America
Brazil,2021,,6679.26,33.75,17.21,6.16,17.06,14.15,18.99,South America
Japan,2015,4467.03,4370.64,34.54,8.88,14.49,7.06,10.96,5.3,Asia
Mexico,2007,7543.01,5806.65,24.97,,8.06,13.71,12.7,7.31,North America
United States,2003,6490.87,6235.76,48.37,38.17,8.62,12.58,9.23,18.29,North America
India,2007,7984.51,1905.33,,7.53,19.7,7.16,12.13,11.88,Asia
Brazil,2003,3130.34,,40.07,38.43,29.06,14.36,2.21,13.47,South America
Australia,2023,,4432.47,33.87,23.29,,9.1,12.64,14.95,Oceania
United States,2002,3514.48,3112.79,32.35,15.48,2.31,12.32,2.52,15.19,North America
Japan,2002,,,,7.69,2.27,6.23,13.57,18.98,Asia
Germany,2017,5206.29,6340.15,36.36,,,11.89,14.9,19.95,Europe
France,2018,7052.58,2732.58,21.87,32.81,8.92,9.6,5.82,15.8,Europe
China,2018,7880.63,1963.35,35.38,29.75,2.76,17.34,4.73,9.31,Asia
Canada,2020,6262.05,5551.47,,6.76,17.97,5.85,11.95,18.2,North America
China,2004,3633.25,2213.72,33.78,,18.71,11.28,5.29,5.74,Asia
Japan,2017,3660.18,,21.56,19.1,,11.88,13.25,8.47,Asia
South Africa,2009,6031.87,3196.67,43.59,,8.02,15.88,3.34,18.46,Africa
South Africa,2021,2290.83,,26.04,13.13,,13.61,3.64,8.84,Africa
Germany,2020,,,27.76,14.84,28.95,15.01,14.73,8.31,Europe
Canada,2005,,4517.47,,33.12,,16.66,10.76,7.07,North America
Australia,2000,2654.29,3381.67,29.91,37.52,,17.93,13.01,17.89,Oceania
Germany,2004,2722.31,4271.62,42.7,,,9.71,6.22,12.5,Europe
Russia,2008,2252.06,,35.58,,18.3,13.07,10.79,15.12,Europe
China,2011,815.7,5263.37,26.15,16.25,9.39,17.6,9.73,8.59,Asia
Germany,2013,634.05,6094.46,,21.68,8.13,19.84,9.84,16.37,Europe
China,2001,7907.92,,46.39,12.91,17.93,18.34,10.87,16.4,Asia
United States,2016,3708.3,1031.72,46.12,27.42,25.98,10.57,9.48,9.69,North America
South Africa,2013,3382.45,556.01,,39.26,28.4,7.93,7.58,11.16,Africa
United States,2012,5597.35,4637.01,,26.12,,12.34,5.59,8.15,North America
France,2008,,4406.82,,17.52,4.64,16.12,11.99,19.65,Europe
Russia,2014,7624.71,4008.2,43.16,,28.34,12.39,4.94,14.68,Europe
Canada,2021,6397.59,1930.85,20.82,,22.1,12.25,11,19.02,North America
Australia,2014,1170.58,2979.98,21.96,36.1,26.49,17.57,5.03,9.55,Oceania
China,2023,3631.86,4323.54,,22.61,,10.42,10.13,16.73,Asia
Australia,2010,7093.39,3678.66,47.28,20.73,17.63,17.9,11.71,16.49,Oceania
China,2015,7585.49,,36.16,25.51,21.03,11.1,4.84,15.37,Asia
Japan,2016,4005.51,1300.5,34.93,,20.4,9.92,2.78,19.48,Asia
Germany,2003,5100.59,,23.16,,12.24,11.81,3.7,10.9,Europe
France,2000,,3068.5,39.7,,0.46,16.44,9.88,6.96,Europe
South Africa,2007,7933.76,,44.66,,17.49,6.89,13.04,15.08,Africa
Mexico,2016,2237.54,,,29.99,7.59,7.95,2.58,15.94,North America
China,2002,7570.49,4970.08,43.27,,13.51,19.27,11.54,13.63,Asia
Australia,2019,,,48.93,33.14,28.73,7.63,6.44,8.1,Oceania
France,2014,5058.03,1247.4,26.11,,,13.52,8.22,12.57,Europe
India,2014,4345.16,,35.7,,25.19,13.69,14.08,9.68,Asia
India,2023,2230.02,5180.64,28.61,10,5.66,12.34,6.32,11.41,Asia
United States,2021,1823.96,4217.35,43.79,32.14,20.17,14.67,8.05,14.68,North America
South Africa,2013,2153.65,2209.46,37.33,14.5,29.31,8.45,2.18,16.18,Africa
Mexico,2022,1898.29,924.17,,22.38,,13.29,3.06,8.48,North America
Japan,2013,,,43.94,14.95,0.25,10.58,5.36,11.08,Asia
Australia,2023,3125.94,6301.66,31.88,9.68,13.01,14.93,2.36,9.04,Oceania
Mexico,2001,933.82,,,27.03,2.78,7.12,10.21,7.98,North America
Germany,2012,7768.27,2534.25,,6.9,22.45,13.56,7.54,16.75,Europe
Germany,2013,7128.39,1895.93,24.74,31.2,27.44,7.78,9.13,18.64,Europe
Australia,2023,7458.14,2742.98,40.88,16.12,13.02,9.18,4.27,10.55,Oceania
Canada,2018,,,,5,7.76,8.28,5.85,16.27,North America
Japan,2006,,3825.79,29.5,22.89,13.03,7.74,10.63,18.45,Asia
France,2002,3471.82,846.24,,,21.7,17.39,14.55,17.69,Europe
China,2014,6186.79,5682.35,47.18,14.67,0.27,9.29,2.66,7.74,Asia
Canada,2022,5720.15,,,,17.68,18.91,13.57,19.34,North America
China,2013,,3964.08,49.51,7.19,18.4,19.55,9.5,10.65,Asia
China,2010,,6208.52,24.22,34.38,19.13,13.57,9.33,10.09,Asia
Canada,2014,2183.3,4695.79,26.06,5.13,7.26,7.15,8.5,5.94,North America
United States,2012,,3917.52,25.53,13.64,21.42,10.62,2.9,12.29,North America
India,2017,,2540.6,46.82,30.93,2.74,16.97,3.17,6.64,Asia
China,2005,4947.05,2597.81,39.63,,,10.51,9.81,8.73,Asia
Canada,2002,4850.65,4818.61,24.56,,26.32,6.31,6.43,9.75,North America
Canada,2018,1186.15,6961.32,33.21,17.61,22.16,13.35,13.92,17.13,North America
Russia,2014,7080.96,4768.14,,14.46,0.41,17.68,7.29,18.13,Europe
Mexico,2022,2492,4081.37,22.5,34.49,7.45,16.94,3.86,9.54,North America
Brazil,2004,1471.36,5222.29,46.47,,6.43,7.63,11.29,17.88,South America
United States,2009,,3470.36,,32.61,8.12,15.09,5.81,17.86,North America
South Africa,2006,7667.39,,35.16,,7.43,8.31,8.83,16.47,Africa
Brazil,2016,6965.96,4111.16,,20.18,1.88,8.27,11.07,7.2,South America
Mexico,2006,6571.37,6720.33,32.53,36.85,13.77,18.11,13.7,15.35,North America
Mexico,2021,,1557,49.52,18.21,21.98,8.75,12.3,19.18,North America
Mexico,2011,4631.43,4954.03,,38.74,18.2,8.95,10.79,15.24,North America
Brazil,2016,1152.4,1726.16,39.04,8.13,20.19,5.01,10.84,9.97,South America
Australia,2012,3563.4,,,29.05,2.43,18.06,14.3,12.51,Oceania
India,2019,3295.16,1038.06,46.46,22.28,28.54,16.89,5.85,14.69,Asia
Canada,2003,2448.15,3372.45,32.82,18.57,25.15,14.41,2.01,12.66,North America
India,2009,5925.65,5390.68,24.87,27.14,24.15,16.25,5.54,6.8,Asia
Japan,2002,4219.07,2693.97,20.38,29.63,24.69,7.28,4.83,9.68,Asia
Australia,2008,1107.85,4788.42,,,27.98,11.87,10.6,17.04,Oceania
South Africa,2012,,5649.97,35.82,10.84,16.33,10.27,10.24,17.92,Africa
India,2017,5624.44,,41.58,29.96,6.01,6.41,9.71,7.06,Asia
Germany,2014,1070.98,,46.71,,18.5,12.29,2.21,19.29,Europe
Mexico,2003,6884.05,3035.49,22.38,38.81,22.29,18.81,11.47,9.93,North America
China,2014,4213.6,1405.95,,31.64,22.14,5.6,6.21,14.93,Asia
Japan,2021,4104.4,6950.39,,38.28,15.64,9.37,10.65,16.28,Asia
United States,2001,4943.06,,45.75,29.59,,8.11,9.24,17.18,North America
South Africa,2014,6685.11,3963.72,44.57,,11.13,8.57,6.46,19.19,Africa
Japan,2007,3108.57,,36.22,,,18.63,3.75,9.69,Asia
Mexico,2007,5585.12,3838.32,41.31,32.36,,12.02,3.23,17.88,North America
China,2016,4742.99,4515.67,29.43,27.55,,11.99,12.81,6.98,Asia
Australia,2011,,,34.14,6.69,8.07,16.41,13.94,15.58,Oceania
China,2018,7089.72,5384.78,44.65,17.6,11.05,7.32,10.45,16.13,Asia
Brazil,2009,6480.7,1242.91,33.78,38.49,26.86,12.31,3.34,15.17,South America
China,2008,,5852.05,30.73,22.51,19.99,11.45,7.23,8.78,Asia
Brazil,2004,6879.36,5561.39,,20.15,,13.95,11.48,18.1,South America
Australia,2005,7004.71,5077.72,44.85,,13.63,19.99,12.14,7.53,Oceania
France,2019,5812.72,638.66,30.06,,18.91,16.54,3.54,5.8,Europe
Mexico,2001,6777.6,2400.65,25.21,17.9,7.45,10.97,2,15.76,North America
Brazil,2023,5731.04,2136.54,41.36,17.94,21.16,17.41,11.26,12.13,South America
United States,2012,,2776.9,44.78,6.83,12.83,7.56,6.64,17.74,North America
China,2005,5139.59,978.44,,31.86,13.28,5.46,5.31,10.75,Asia
China,2004,6145.37,,27.2,,19.48,8.07,2.17,7.52,Asia
United States,2000,,4055.09,24.26,33.78,28.09,10.11,9.02,17.55,North America
Germany,2020,7106.53,2416.46,30.44,,,12.66,13.06,13.23,Europe
Canada,2021,7038.83,3020.08,33.51,12.42,24.74,14.23,14.45,7.84,North America
France,2020,719.35,3351.54,42.46,28.01,,18.66,9.35,15.81,Europe
South Africa,2005,6693.63,4363.92,39.53,21.53,13.32,12.65,8.69,12.67,Africa
Brazil,2005,1466.52,,38.63,35.81,0.66,12.52,3.11,14.06,South America
United States,2022,,,30.57,12.55,9.03,5.75,9.14,11.91,North America
Australia,2015,6076.31,,45.24,,15.08,5.52,6.94,17.43,Oceania
Brazil,2003,1705.7,6948.24,,26.27,1.69,13.27,9.89,17.44,South America
Canada,2010,6634.75,6019.4,49.37,15.34,14.73,11.57,7.05,15.64,North America
Australia,2023,6741.01,1776.17,39.02,9.78,27.81,17.59,5.12,6.58,Oceania
Japan,2022,4306.01,,23.79,27.81,3.16,7.41,3.23,17.58,Asia
Mexico,2008,547.89,1168.02,40.29,30.85,22.93,5.37,6.09,15.07,North America
China,2022,2652.79,5795.17,29.75,16.05,12.29,11.74,3.26,15.46,Asia
Japan,2002,5126.95,2912.11,,,19.66,8.56,4.3,10.44,Asia
Brazil,2018,7858.9,6194.63,22.09,,7.81,5.74,14.84,18.19,South America
Canada,2007,5238.6,,25.25,29.96,4.78,15.87,7.77,15.88,North America
France,2004,2448.53,,,11.97,,6.67,8.91,6.69,Europe
Mexico,2003,5255.04,5614.2,26.82,36.16,2.11,14.12,13.36,11.12,North America
Brazil,2023,4549.89,2410.88,45.11,15.06,5.57,9.22,14.94,18.3,South America
United States,2005,6348.84,,28.38,17.87,19.93,7.6,9.58,5.71,North America
India,2005,3240.947725,1746.270661,20.09922096,11.50972541,,12.16386153,10.16470296,7.005406967,Africa
Brazil,2008,2732.330261,2054.709757,,,14.15079341,16.05234485,14.27578195,14.50362454,Europe
Mexico,2012,,4608.125472,21.86364556,25.44723196,,5.243997561,13.49751315,15.06563996,Africa
China,2016,5638.221594,6862.242492,,,12.50875801,6.794848627,14.40904501,10.97562715,Oceania
Australia,2022,,793.5690725,20.98950863,14.15722808,,5.117046849,14.97440173,18.35662127,South America
United States,2002,,2742.139834,25.38853064,15.86599998,22.52191638,19.58262061,12.55947316,6.419638242,Asia
United States,2017,5483.675965,2966.219306,,15.18411227,26.94337558,8.223994245,9.419910585,7.069314483,Europe
Mexico,2011,2771.473389,6784.723085,34.03814912,30.74457365,4.135640036,10.50676041,3.300826271,16.24560515,North America
Brazil,2019,4971.64337,6750.45639,40.75462739,26.9608515,18.26550112,19.36077065,8.690317853,11.3855619,Asia
China,2016,,6012.220328,20.01299355,16.83801804,29.44157778,19.34791088,5.32027425,17.71406458,Asia
Canada,2018,3132.260021,5926.081047,28.92242972,10.07860574,3.054958859,10.79672208,4.227737203,15.54084148,Asia
Russia,2014,2943.631513,6722.309961,47.37645078,14.73779493,23.98664903,5.852429739,13.3128971,13.45740187,Africa
Australia,2002,4405.295646,,39.24973225,,,6.655720744,13.48490139,7.897544289,South America
Australia,2008,7069.269455,7300.686199,48.74697093,33.19512803,,14.48631806,10.16038088,11.18654398,Africa
Australia,2000,3428.518399,2978.666716,44.39760713,20.44277939,9.615937762,7.431465333,5.531073671,8.56749976,Europe
Australia,2000,9919.578511,,37.90865504,32.93690954,5.931966204,15.01666572,11.25069143,13.4422328,Asia
Germany,2004,3238.622949,6494.442236,25.58919295,39.32952352,,5.735611775,9.529624211,5.967561478,Africa
Japan,2004,,6121.503465,36.4201243,32.01566535,24.44744154,17.11833335,11.54182253,19.90752137,Europe
Germany,2013,,6523.594189,47.24154748,29.29325842,15.36192439,11.39336178,13.99342241,8.929565937,Europe
South Africa,2000,8383.058637,,29.73547186,38.31083752,3.398189988,14.19653057,9.326007872,11.9671486,Oceania
France,2002,2334.621486,4821.916215,49.80411429,38.81104142,6.202669892,19.34589501,5.358979265,11.66142364,North America
Australia,2022,6959.894993,,22.95933988,37.48394942,10.35085337,5.246185568,7.370430632,6.804419596,Africa
Germany,2020,3476.257547,4178.676451,42.110083,26.84499286,20.00164565,8.799919858,9.345068899,8.896181755,Europe
Canada,2013,9862.152286,6129.682973,46.17191669,10.86491801,1.118583033,6.148859254,3.481812291,5.979386076,Asia
Australia,2012,5095.94668,,32.59635145,28.33202448,10.92132699,5.17071889,10.25997214,7.254072638,South America
South Africa,2000,,3618.49569,36.97204211,,,13.71910564,14.69413612,11.95945011,South America
Japan,2022,6482.270731,6088.793372,31.78441931,,29.31092582,13.79147986,7.041846797,13.79114646,Oceania
Germany,2009,8584.693788,4663.866016,29.14388217,27.45532122,,5.847659727,6.06410122,16.79304532,South America
Brazil,2013,5933.573861,,41.86991508,17.80853444,3.872484818,15.54621918,10.41280352,7.80579237,Europe
Russia,2021,4568.43766,1226.777472,,28.70314948,21.53517265,15.23287614,5.656407988,8.191161213,Africa
Japan,2008,,3611.903793,31.44172888,,24.47061239,18.2807827,6.647425412,7.234440631,Africa
South Africa,2015,6920.376374,7007.962155,,,0.155003384,18.55775064,8.322928742,10.23464391,Asia
Australia,2006,2180.421141,3342.099247,31.62128132,33.99457939,17.23385615,10.83615316,12.01138784,8.724003258,Europe
Australia,2015,5975.875022,7770.209481,38.05851733,,7.486200594,5.067754746,11.27091602,16.69555269,Asia
Brazil,2021,,7284.471646,38.4199741,31.50645536,14.0723172,13.33302047,14.30469206,11.37102285,North America
Russia,2009,3308.770289,6965.022384,23.14377616,29.99145797,24.44433975,5.927096182,8.466040796,14.75240992,Oceania
Japan,2020,3490.129318,1893.940327,46.7080547,25.26320964,,17.18561849,6.17654996,18.36936409,Europe
Japan,2001,4043.626341,,28.25284359,26.19798822,,6.591486458,7.219613777,7.252110365,North America
Mexico,2013,6591.610109,6839.260521,34.89740113,10.37401543,17.66763675,11.55539567,9.111758903,7.763051207,North America
India,2010,3718.317465,2580.191061,28.45230776,,4.797241568,11.99984881,13.95422445,5.874809927,South America
Russia,2019,,,46.05182349,37.56293739,22.54067658,17.30824315,8.775413161,17.62695358,Europe
United States,2008,4078.272765,,36.55346084,36.34380132,14.39842195,16.55303555,14.84432345,15.43140847,Asia
China,2018,9552.597894,,,10.91482579,5.047126219,15.91127755,14.84529648,18.90934784,Asia
Mexico,2003,4657.516761,3622.210286,43.52001487,25.83191995,20.83568099,8.348262134,11.20804582,7.571228015,North America
Germany,2016,8911.612639,5307.160979,44.48588375,,24.74533374,13.0120125,3.344422602,6.626822918,South America
United States,2005,8294.455578,1090.245073,22.45127591,36.66372989,9.435419417,11.67112429,8.26456592,16.7230419,North America
India,2022,2901.565528,,29.68842163,,28.40831108,12.67760875,12.51927577,6.694179185,Europe
Germany,2008,2303.417744,6563.64971,,26.95001669,,13.73769534,5.883244641,12.00749035,Oceania
Brazil,2021,7760.4494,3015.487928,,,,11.54430428,6.486415192,6.988174263,North America
India,2016,5718.83833,828.1691962,35.13495051,20.37878742,11.27945036,17.52812546,6.841391675,9.00328565,Asia
United States,2016,6521.526902,6228.667584,46.78595626,10.02292457,5.951374065,9.721985059,4.175487682,12.35247933,Oceania
United States,2010,7354.721063,5825.469448,31.62699826,,7.218129026,10.09793723,14.58213517,5.769234555,South America
Brazil,2016,9854.035388,3899.596213,,34.62913057,25.93857393,17.93022367,6.860013951,12.13694408,South America
India,2013,2322.215863,4917.08178,,19.8116053,2.624173859,19.10547937,14.51793514,6.032803222,Asia
Japan,2018,2102.017685,6254.460993,41.21066457,15.4562156,13.80579348,10.03007167,14.27688531,13.36930519,Africa
United States,2002,9221.110354,,36.180395,25.92175869,14.24593953,7.952740288,4.521575981,11.5938721,Europe
India,2001,4722.622932,7594.118354,49.26231142,30.35909735,,5.687459037,7.220381106,14.95064016,Asia
Brazil,2008,7832.409812,5764.686289,40.60262586,17.33816609,23.83967492,18.69441244,7.118925543,7.811209239,South America
Australia,2018,,1112.922619,,21.68051222,15.25556952,19.44393665,4.520570446,10.64799801,North America
Russia,2011,,,38.06913607,31.67993995,24.87062674,8.417551761,9.81134051,18.75005975,Europe
Canada,2003,3221.121467,1849.965908,,16.16555241,27.16492642,7.227344843,9.412948233,5.956360458,Asia
Russia,2010,7323.098947,,,24.09358059,2.067169887,18.92631296,8.691277508,8.659435662,Asia
India,2009,3320.818953,4686.257579,38.25297165,34.30918223,27.55333701,18.25323483,14.29595306,14.2613644,South America
Russia,2010,2465.337833,1315.149254,43.98754567,16.96995843,2.704722001,15.33483804,14.74383887,16.50004073,Asia
Mexico,2002,9453.217291,5140.416467,,31.38120227,12.02585855,18.41342509,5.022798314,15.72079123,North America
Germany,2020,3000.131521,5783.048299,38.75617748,20.36542808,10.45606933,14.68952754,14.22600724,6.96043838,South America
Canada,2001,5221.408052,2315.424372,,21.68971659,28.94645139,19.08272136,9.221065645,10.64812824,Europe
Germany,2009,6440.550103,3491.002502,45.37609708,23.58190113,13.00787183,12.77251128,12.33365421,6.555013202,Africa
Germany,2020,2528.981559,,44.31368032,11.9782552,7.7403087,10.76703038,8.041268296,6.539264537,South America
Brazil,2014,9147.529785,1688.909301,42.75352551,30.44910365,24.18373252,16.23471005,3.54690372,15.64105771,South America
China,2018,6813.747307,519.9911465,23.90917347,36.68290427,1.876728033,10.90528007,7.101369754,5.247266922,Africa
Mexico,2005,7193.47115,2630.885103,46.05890831,32.1107436,20.58058911,12.48530285,14.53323298,9.379716195,South America
Australia,2016,,4127.382861,35.80497575,33.0021655,24.57534217,8.647270607,9.473257678,10.97747005,North America
Canada,2007,7938.406518,5145.586631,,35.52871638,12.41800762,12.76983993,4.497373048,8.618300467,Asia
South Africa,2018,2325.351919,1499.937558,21.83271678,36.42892683,,17.05032968,4.335902233,12.79775847,Asia
Japan,2009,6476.646552,7450.558537,34.80309087,,12.30477765,6.756371667,5.427060741,16.26525199,North America
Australia,2011,2058.607325,7644.783522,,18.58399463,16.09579636,8.424207859,4.208637529,16.65359276,North America
China,2022,3275.704786,5563.518725,33.2783856,19.88061766,22.60241558,7.501735839,3.165608624,18.23706584,North America
Australia,2005,3244.577626,5791.957122,34.83681621,22.35512456,6.354138328,12.36326629,5.61126126,6.836268108,Europe
Japan,2020,,,31.47073795,32.33486939,23.63089921,16.68530487,6.405280939,6.598417468,Asia
Brazil,2020,4037.783117,,49.52621503,32.59523322,13.03692665,15.85184873,14.81979821,7.105423459,Asia
Japan,2021,2837.7006,5607.465448,21.06681608,38.33242529,0.950117615,13.01857194,9.935182378,6.189400602,North America
Russia,2010,9456.170229,4917.255388,39.48166948,21.44707275,28.9317451,16.5753829,11.08489353,7.038858459,North America
Germany,2005,2539.895299,4658.832749,40.15176613,24.43073052,24.16299882,6.617858285,9.969990028,9.556704726,North America
France,2007,8113.988667,6669.940955,30.5308969,,,6.836047906,13.92946968,15.73382722,South America
United States,2010,9074.225494,4347.911891,,,,10.68478961,6.313160128,8.413493782,Oceania
South Africa,2012,8474.777276,7202.678869,29.59671368,31.57649292,,11.77800515,9.936853643,6.762629395,Africa
United States,2000,7346.13708,,41.21833582,13.81671961,26.33986174,11.95599714,5.383466059,18.09363621,South America
Canada,2001,6118.411433,7914.055149,34.165494,,,19.4014984,13.35174699,9.000049266,Asia
Mexico,2022,7356.748711,1889.196889,31.17676064,29.93285911,3.873281613,5.106393866,4.168039416,17.80986774,North America
Brazil,2011,7581.113322,1537.744902,,21.2529829,4.359759032,8.653249111,9.723767667,19.05661061,Europe
Japan,2017,2610.778825,,38.28061638,30.8490659,1.385643636,10.78383099,10.8482325,9.443785866,South America
Germany,2021,,,23.70511451,37.25063487,15.06707646,13.88366583,14.18794915,18.34703374,Africa
Germany,2012,4089.031395,1775.846598,44.4252088,29.87970395,13.74448828,15.84382164,14.20514175,5.453817149,North America
United States,2022,8866.505953,565.4909106,37.93489684,32.51157634,,9.712199613,12.5662701,19.23792471,South America
Japan,2022,3846.602408,,44.75889507,29.59026771,7.951230185,17.32216134,6.448832538,19.14820773,Europe
South Africa,2017,7051.64067,5954.609583,36.12700306,26.67785285,28.91195559,14.10949322,5.525428084,12.59513353,Asia
Japan,2017,4768.793295,,29.86957548,35.25729992,7.946597092,12.78080847,14.34676189,11.19462961,Africa
Canada,2022,,2612.843223,48.5138156,29.22466149,17.14478768,9.411050463,5.815002155,7.059581317,Europe
Mexico,2004,9848.360505,4542.400135,,29.57974155,19.04761214,12.04261395,5.840953353,18.19532896,Africa
United States,2013,,6447.918949,,21.47923117,5.396304053,9.265058987,5.314434168,19.75946028,Europe
India,2009,7969.564658,1026.365314,43.2852376,21.81922733,6.379564532,5.258988633,13.55067196,19.36610737,Asia
China,2005,5274.257543,7300.884886,40.09179906,29.05227221,16.95617927,8.437820457,8.34894581,12.3762255,Europe
Canada,2012,6112.576775,4437.240049,32.13766775,32.10292904,10.93766014,9.089877643,13.32466809,9.302778951,Africa
Canada,2015,,3942.222896,29.66382518,21.01527054,4.190302112,15.51789787,10.7070912,14.7437643,South America
India,2013,8968.002058,1372.492463,,32.34937149,21.40826084,9.847812169,13.19410269,15.72125608,Africa
United States,2010,8362.135237,3205.041421,46.21168796,22.1062356,25.77444855,18.51751312,6.029496702,13.40993824,Oceania
Mexico,2018,,7232.673328,37.04755175,19.80088214,1.879230372,10.93313175,7.90394041,10.19722814,North America
Brazil,2016,6404.69535,599.664585,31.64869798,14.98392871,8.992735228,18.81316342,5.989239721,11.10101486,North America
Australia,2000,7473.15989,4045.420559,26.21439483,,18.20678784,9.454053311,12.16819257,15.23820842,Oceania
Russia,2007,3662.799815,6570.785122,,21.35946367,11.88947424,6.569741238,5.749559012,18.52433158,Africa
Mexico,2002,2448.0295,,29.5433189,30.54359489,20.6569864,6.56370297,8.946676163,12.04507179,Oceania
Brazil,2005,2573.430048,6121.619013,,34.64515389,12.11357963,17.12799925,5.025090445,8.535662141,Africa
Australia,2019,2630.764204,2402.442394,26.39207895,25.51132081,,13.46817977,12.46120531,15.01735803,Europe
South Africa,2012,,3446.347887,,,,10.27201304,10.39302101,8.169064855,South America
Mexico,2011,3059.354349,,27.89759388,10.62487413,27.72789952,9.801974768,4.005304555,15.44047316,Asia
China,2022,7608.071364,2824.920662,47.36987113,33.46767352,8.071072516,12.60568289,10.61210129,7.076850267,Oceania
France,2002,,,,24.92128268,6.245503993,16.26595104,3.232565658,12.59884664,Asia
Brazil,2004,2758.682116,,26.30970389,18.34927519,27.61644724,11.0533546,3.775297697,6.353480547,South America
Russia,2004,2047.949356,,25.83160141,,20.50695426,5.735224674,14.57574933,9.416783208,North America
United States,2016,5446.336722,4731.293452,,37.63125777,9.175467917,10.23431937,6.471358662,5.916118979,North America
Germany,2001,3995.097999,4656.557207,25.5739414,10.75272828,5.256477232,7.491700434,11.85512835,11.81704543,Africa
South Africa,2006,9656.931201,1820.431055,31.55221506,19.28391459,,19.58451842,5.263051537,15.04975915,North America
United States,2008,7995.951765,4194.386523,,,28.45360171,14.07099881,6.764289617,7.093004273,South America
South Africa,2004,4713.811326,4106.531901,24.69046372,31.11869311,14.77515347,14.42598449,13.7220267,7.381076116,Europe
Mexico,2022,9676.901552,4419.693996,31.38791117,23.00803618,1.903204266,17.2076417,11.26620018,17.46407991,North America
Japan,2014,,589.0098624,,,,17.97340457,6.340487287,8.743366393,Asia
Canada,2000,2810.955875,6476.034853,36.20795331,,18.56620608,16.45302713,9.105187604,18.67040616,South America
United States,2021,5374.482014,2082.152846,37.25281239,15.12146641,25.19055491,13.86593976,9.563654075,14.0603513,Europe
United States,2015,7187.738229,3038.149093,20.27958158,21.26048063,17.05726592,11.61353211,4.505410664,14.26274502,Oceania
France,2008,7252.009881,5801.474433,37.49162349,,0.239298115,14.16470978,8.023937819,17.01469973,North America
South Africa,2001,7447.303245,,46.90829651,14.59459363,2.888951313,17.62738393,11.89828371,9.554147228,North America
Australia,2016,6322.288789,6665.129994,32.83069465,31.5057553,25.22072876,9.004785515,3.171009001,19.74709352,North America
France,2012,6351.130795,5345.089364,49.38794389,20.97843911,9.530717799,9.938436883,3.30681316,10.9029561,North America
Russia,2017,,,,16.49539482,10.37785421,19.19537415,13.22054561,5.624365666,North America
China,2007,3967.515883,6697.373394,27.34576763,,21.72217991,13.32822967,8.996972015,10.04363671,North America
Germany,2005,2921.054363,5809.676426,22.94764254,,23.92669074,16.37538415,4.619594395,5.382087087,Europe
